net,length_um
net124,172.04
_01574_,171.625
_01226_,171.42
net40,171.325
net62,171.3
net386,171.28
_04772_,170.69
u_decod.rf_ff_res_data_i\[26\],170.56
u_decod.dec0.rd_v,170.46
_04478_,170.37
_05696_,169.59
_01681_,168.4
_02391_,168.05
u_decod.instr_operation_q\[0\],167.65
_02716_,167.49
net186,166.02
_01468_,165.92
net39,165.6
net246,165.48
_02792_,165.445
_01480_,164.71
net182,163.7
net348,163.2
_01596_,162.66
_01559_,162.55
_03216_,162.535
u_decod.rs1_data_q\[21\],162.35
_01132_,161.73
u_decod.pc_q_o\[11\],161.54
net226,161.22
u_decod.pc_q_o\[13\],161.11
_04935_,160.88
u_decod.rf_ff_res_data_i\[1\],160.7
u_decod.pc0_q_i\[0\],160.38
_01476_,160.28
_01640_,160.18
u_decod.pc_q_o\[9\],159.52
_04943_,159.28
net199,159.18
net183,159
u_decod.rf_ff_res_data_i\[0\],158.39
net31,158.32
_04862_,158.25
_02306_,158.14
_04719_,157.5
_01634_,157.16
_01747_,157.12
_02551_,156.895
_03247_,156.7
_01643_,156.255
_02904_,156.1
net358,155.9
_02968_,155.8
_05404_,155.74
_01420_,155.56
_04755_,155.08
net32,154.9
_05041_,154.82
_01056_,154.76
_01753_,154.76
_03456_,154.7
_01441_,154.49
_04768_,154.24
_04207_,153.56
u_decod.instr_unit_q\[3\],153.31
_04957_,153.28
_04766_,152.8
_02838_,152.64
_05440_,152.64
net252,152.41
_04430_,152.38
_01599_,152.34
net190,152.24
_02841_,151.34
net184,151.34
net169,151.24
_03666_,151.2
_04448_,151.055
clknet_4_9_0_clk,150.7
net343,150.68
net318,150.52
_05115_,150.18
net359,149.98
_03338_,149.74
net33,148.94
net391,148.72
_02326_,148.635
_04434_,148.5
net269,148.46
_04991_,148.14
_01477_,147.72
_04490_,147.62
net187,147.2
_05003_,147.06
_02930_,146.5
_02341_,146.36
u_decod.branch_imm_q_o\[15\],145.87
_01101_,145.83
u_decod.rs1_data_q\[31\],145.75
_01563_,145.66
_03197_,145.66
_04949_,145.22
_04409_,145.14
net87,145.005
net253,144.46
_02390_,144.405
_04989_,144.06
clknet_leaf_56_clk,143.92
_01538_,143.83
_04776_,143.7
u_decod.rf_ff_res_data_i\[27\],143.62
_01746_,143.37
_04421_,143.18
net38,143.11
_04774_,143.06
net188,142.75
net185,142.68
_03731_,142.46
_02884_,142.07
u_decod.rf_ff_res_data_i\[22\],142.04
net232,141.85
_02647_,141.535
_02594_,141.48
_04208_,141.31
_01464_,141.23
net366,141.2
u_decod.pc_q_o\[3\],141.06
_02929_,140.98
_01549_,140.395
_05259_,140.16
_05001_,139.79
net138,139.64
_02358_,139.445
_02696_,139.41
clknet_leaf_108_clk,139.36
net469,139.24
_04784_,139.18
_03433_,139.06
clknet_leaf_4_clk,138.64
_02949_,138.58
net266,138.54
_04432_,138.41
_01512_,138.375
net117,138.25
clknet_leaf_123_clk,137.69
_04410_,137.585
u_decod.pc0_q_i\[17\],137.48
_04945_,137.38
net223,137.12
u_decod.branch_imm_q_o\[12\],137.115
_03203_,137
_04938_,137
net170,136.98
_01567_,136.64
u_decod.branch_imm_q_o\[11\],136.55
net333,136.53
_03223_,136.27
_02189_,136.11
net16,135.815
_03914_,135.72
net368,135.63
_03752_,135.58
_02973_,135.565
clknet_leaf_1_clk,135.26
_01801_,135
net113,134.86
_04440_,134.64
_01852_,134.54
_01517_,134.44
_04492_,134.44
u_decod.exe_ff_res_data_i\[13\],134.34
net141,134.16
net134,134.02
net340,133.97
net454,133.86
u_decod.branch_imm_q_o\[6\],133.85
net14,133.85
_04726_,133.83
u_decod.branch_imm_q_o\[13\],133.735
net145,133.52
net287,133.275
u_decod.pc_q_o\[5\],133.21
_03710_,133
_01446_,132.92
_04275_,132.88
_02592_,132.8
u_decod.pc0_q_i\[16\],132.6
u_decod.exe_ff_rd_adr_q_i\[0\],132.505
_04974_,132.34
u_decod.branch_imm_q_o\[7\],132.34
_04972_,132.28
u_decod.pc_q_o\[4\],132.12
_04951_,131.83
_04476_,131.75
_04472_,131.73
_04742_,131.58
_01716_,131.2
net43,131.07
net114,131.06
_05476_,131
net156,130.96
_01478_,130.95
u_decod.branch_imm_q_o\[16\],130.835
_02508_,130.64
_01455_,130.6
_01715_,130.58
clknet_4_10_0_clk,130.58
net330,130.435
u_decod.rs2_data_q\[3\],130.39
clknet_leaf_65_clk,130.22
net293,130.19
_04486_,130.02
_02743_,130.01
clknet_leaf_13_clk,129.94
net76,129.92
_04724_,129.8
_04763_,129.74
_04179_,129.46
u_decod.branch_imm_q_o\[14\],129.32
net322,129.07
net354,129.04
u_decod.dec0.funct7\[1\],129
clknet_leaf_51_clk,128.73
_04438_,128.69
net220,128.63
clknet_leaf_29_clk,128.44
net112,128.24
_04749_,128.21
net15,128.2
_03998_,128.12
_04968_,128.1
_01856_,127.96
_03772_,127.5
net210,126.52
u_decod.rs1_data_q\[12\],126.21
_04461_,126.06
net198,125.98
_02593_,125.88
u_decod.dec0.instr_i\[19\],125.7
_03229_,125.57
_03055_,125.18
u_decod.exe_ff_res_data_i\[20\],125.02
_04732_,125
net140,124.76
_01505_,124.58
_04488_,124.39
net65,124.24
_05584_,124.22
net248,123.89
clknet_leaf_131_clk,123.62
_01713_,123.405
net194,123.38
_01458_,123.17
_05692_,123.09
_01100_,123.08
_03835_,122.88
clknet_leaf_140_clk,122.4
